"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","127","0.0-0.0","80","Low_HMMActual","","","","","","","","","","",""
"preload","1","129","0.0-1.0","80","Low_HMMActual","true","false","[]","[]","[]","","","","","",""
"external-html","2","7212","0.0-2.0-0.0","80","Low_HMMActual","","","","","","6977.099999904633","consent.html","","","",""
"survey-multi-choice","3","11479","0.0-2.0-1.0","80","Low_HMMActual","","","","","","4262.39999961853","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","",""
"survey-text","4","14183","0.0-2.0-2.0","80","Low_HMMActual","","","","","","2701.699999809265","","{""Q0"":""26""}","","",""
"survey-text","5","19665","0.0-2.0-3.0","80","Low_HMMActual","","","","","","5378.400000095367","","{""Q0"":""60c86505e26bc5e0e2e725eb""}","","",""
"image-keyboard-response","6","40757","0.0-3.0-0.0","80","Low_HMMActual","","","","","","20989.299999713898","","","","tutorial/tutorial1.png"," "
"image-keyboard-response","7","51917","0.0-3.0-0.1","80","Low_HMMActual","","","","","","11156.199999809265","","","","tutorial/tutorial2.png"," "
"image-keyboard-response","8","57593","0.0-3.0-0.2","80","Low_HMMActual","","","","","","5672.700000286102","","","","tutorial/tutorial3.png"," "
"image-keyboard-response","9","59246","0.0-3.0-0.3","80","Low_HMMActual","","","","","","1649.1999998092651","","","","tutorial/tutorial4.png"," "
"image-keyboard-response","10","60727","0.0-3.0-0.4","80","Low_HMMActual","","","","","","1479.1999998092651","","","","tutorial/tutorial5.png"," "
"image-keyboard-response","11","70407","0.0-3.0-0.5","80","Low_HMMActual","","","","","","9677.10000038147","","","","tutorial/tutorial6.png"," "
"image-keyboard-response","12","72480","0.0-3.0-0.6","80","Low_HMMActual","","","","","","2069.5999999046326","","","","tutorial/tutorial7.png"," "
"image-keyboard-response","13","88497","0.0-3.0-0.7","80","Low_HMMActual","","","","","","16013.10000038147","","","","tutorial/tutorial8.png"," "
"image-keyboard-response","14","90688","0.0-3.0-0.8","80","Low_HMMActual","","","","","","2186.8999996185303","","","","tutorial/tutorial9.png"," "
"image-keyboard-response","15","101551","0.0-3.0-0.9","80","Low_HMMActual","","","","","","10861.599999904633","","","","tutorial/tutorial10.png"," "
"image-keyboard-response","16","109640","0.0-3.0-0.10","80","Low_HMMActual","","","","","","8086.800000190735","","","","tutorial/tutorial11.png"," "
"image-keyboard-response","17","116133","0.0-3.0-0.11","80","Low_HMMActual","","","","","","6490.900000095367","","","","tutorial/tutorial12.png"," "
"image-keyboard-response","18","122974","0.0-3.0-0.12","80","Low_HMMActual","","","","","","6840.699999809265","","","","tutorial/tutorial13.png"," "
"image-keyboard-response","19","137913","0.0-3.0-0.13","80","Low_HMMActual","","","","","","14937.299999713898","","","","tutorial/tutorial14.png"," "
"image-keyboard-response","20","143966","0.0-3.0-0.14","80","Low_HMMActual","","","","","","6049.800000190735","","","","tutorial/tutorial15.png"," "
"image-keyboard-response","21","147950","0.0-4.0","80","Low_HMMActual","","","","","","3982.7999997138977","","","","tutorial/tutorial16.png","arrowup"
"image-keyboard-response","22","158085","0.0-5.0","80","Low_HMMActual","","","","","","8569.5","","","","tutorial/tutorial17.png","arrowright"
"image-keyboard-response","23","163449","0.0-6.0","80","Low_HMMActual","","","","","","3447.0999999046326","","","","tutorial/tutorial18.png","arrowleft"
"image-keyboard-response","24","191030","0.0-7.0","80","Low_HMMActual","","","","","","26834.099999904633","","","","tutorial/tutorial19.png"," "
"html-keyboard-response","25","194455","0.0-8.0","81","Low_HMMActual","","","","","","3419.699999809265","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," "
